DATE,PRODUCT_ID,PRODUCT_BRAND,PACK_SIZE,UNIT_PRICE,SALES_QTY,SALES_VALUE,Year,Month,Day,Dayofweek,Weekofyear,Dayofyear,Is_weekend,lag_qty_1,lag_qty_2,lag_qty_3,lag_qty_7,lag_qty_14,lag_qty_30,lag_qty_60,lag_value_1,lag_value_2,lag_value_3,lag_value_7,lag_value_14,lag_value_30,lag_value_60,rolling_mean_3,rolling_std_3,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,Product_Sale_Count,Days_Since_Last_Sale,Avg_Days_Between_Sales,Month_sin,Month_cos,Dayofweek_sin,Dayofweek_cos,Next_Purchase_Volume,Predicted_Next_Purchase_Volume,Model_RMSE
2024-11-04,SPRITE_1000 ML,SPRITE,1000 ML,3.5,3,11,2024,11,4,0,45,309,False,2.0,7.0,14.0,37.0,2.0,2.0,3.0,5.0,23.0,46.0,129.0,5.0,5.0,11.0,7.666666666666667,6.027713773347675,9.714285714285714,12.789504625725375,11.642857142857142,13.652878777059525,200,1.0,1.4,-0.5000000000000004,0.8660254037844384,0.0,1.0,5.0,9.51598,4.515979766845703
2024-08-16,SPRITE_300 ML,SPRITE,300 ML,2.3,2,6,2024,8,16,4,33,229,False,2.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,12.0,2.0,0.0,1.8571428571428572,0.37796447304303266,1.9285714285714286,0.2672612418813951,124,1.0,1.0,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,2.0,7.761515,5.761515140533447
2024-04-20,DASANI WATER_200 ML,DASANI WATER,200 ML,1.5,30,60,2024,4,20,5,16,111,True,9.0,4.0,2.0,19.0,23.0,27.0,31.0,15.0,5.0,4.0,35.0,37.0,45.0,53.0,5.0,3.6055512754632657,6.285714285714286,6.183695920571572,14.642857142857142,10.172414756488076,84,1.0,1.0,0.8660254037844387,-0.49999999999999983,-0.9749279121818236,-0.2225209339563146,24.0,13.841741,10.158259391784668
2024-05-19,KELLOGS CORN FLAKES_500 G,KELLOGS CORN FLAKES,500 G,5.5,3,20,2024,5,19,6,20,140,True,14.0,7.0,15.0,4.0,7.0,8.0,74.0,80.0,42.0,88.0,27.0,42.0,48.0,406.0,12.0,4.358898943550102,11.0,4.5460605656647255,14.571428571428571,10.753992358577364,128,1.0,1.0,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,4.0,13.142543,9.142542839050293
2024-12-04,DASANI WATER_200 ML,DASANI WATER,200 ML,1.5,18,36,2024,12,4,2,49,339,False,7.0,10.0,2.0,6.0,25.0,16.0,24.0,14.0,20.0,4.0,12.0,47.0,29.0,48.0,6.333333333333333,4.041451884326687,10.571428571428571,7.849780100043823,17.928571428571427,11.159433992499876,298,2.0,1.2,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434,10.0,13.145761,3.1457605361938477
2024-08-27,DASANI WATER_1000 ML,DASANI WATER,1000 ML,2.5,9,23,2024,8,27,1,35,240,False,12.0,37.0,54.0,14.0,10.0,4.0,17.0,32.0,86.0,115.0,28.0,20.0,8.0,44.0,34.333333333333336,21.126602503321052,29.428571428571427,14.987296207757097,22.285714285714285,13.453215637497529,189,1.0,1.0,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,9.0,21.524376,12.524375915527344
2024-10-30,DOVE BODY WASH_100 ML,DOVE BODY WASH,100 ML,3.5,20,70,2024,10,30,2,44,304,False,50.0,117.0,27.0,9.0,4.0,9.0,3.0,175.0,416.0,96.0,32.0,12.0,32.0,9.0,64.66666666666667,46.75824347998294,38.0,37.12142238654126,34.857142857142854,36.1340605201009,256,1.0,1.0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,5.0,31.293242,26.293241500854492
2024-06-20,DOVE BODY WASH_500 ML,DOVE BODY WASH,500 ML,8.0,9,72,2024,6,20,3,25,172,False,9.0,9.0,8.0,9.0,10.0,6.0,15.0,72.0,72.0,60.0,72.0,95.0,49.0,115.0,8.666666666666666,0.5773502692316489,8.857142857142858,0.37796447304947195,12.0,6.012806844878961,136,1.0,1.4,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,9.0,15.211998,6.211997985839844
2024-09-22,SPRITE_300 ML,SPRITE,300 ML,2.3,2,6,2024,9,22,6,38,266,True,2.0,2.0,2.0,4.0,2.0,2.0,2.0,6.0,6.0,6.0,12.0,6.0,6.0,6.0,2.0,0.0,2.5714285714285716,0.9759000729615256,2.357142857142857,0.7449463436573935,143,1.0,1.2,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,2.0,7.684228,5.68422794342041
2024-07-07,DASANI WATER_300 ML,DASANI WATER,300 ML,2.0,13,30,2024,7,7,6,27,189,True,17.0,15.0,20.0,20.0,14.0,15.0,12.0,34.0,30.0,40.0,40.0,28.0,30.0,25.0,17.333333333333332,2.516611478431114,17.428571428571427,2.507132682113297,15.5,4.238105527417014,177,1.0,1.0,-0.4999999999999998,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,15.0,15.380633,0.3806333541870117
2024-07-03,DASANI WATER_300 ML,DASANI WATER,300 ML,2.0,15,30,2024,7,3,2,27,185,False,15.0,20.0,20.0,12.0,20.0,19.0,17.0,29.0,40.0,40.0,24.0,40.0,40.0,35.0,18.333333333333332,2.8867513459546768,15.0,5.859465277082857,16.142857142857142,4.469678062009189,173,1.0,1.0,-0.4999999999999998,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,20.0,15.412103,4.587897300720215
2024-08-23,DOVE BODY WASH_1000 ML,DOVE BODY WASH,1000 ML,12.0,26,293,2024,8,23,4,34,236,False,51.0,56.0,44.0,70.0,32.0,106.0,38.0,547.0,594.0,490.0,715.0,306.0,1093.0,396.0,50.333333333333336,6.0277137733446935,63.285714285714285,33.66360193499947,68.42857142857143,41.45008914477596,234,1.0,1.0,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,33.0,47.77675,14.776748657226562
2024-05-31,MOUNTAIN DEW_750 ML,MOUNTAIN DEW,750 ML,3.5,16,61,2024,5,31,4,22,152,False,14.0,19.0,29.0,14.0,4.0,3.0,30.0,53.0,73.0,110.0,56.0,16.0,12.0,108.0,20.666666666666668,7.637626158264045,15.714285714285714,8.056349167258075,10.571428571428571,7.75305682359376,136,1.0,1.0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,10.0,16.306984,6.306983947753906
2024-07-28,SPRITE_1000 ML,SPRITE,1000 ML,3.5,8,26,2024,7,28,6,30,210,True,4.0,2.0,2.0,4.0,4.0,2.0,6.0,10.0,5.0,5.0,10.0,10.0,5.0,21.0,2.6666666666666665,1.1547005384102738,2.857142857142857,1.0690449676607974,4.714285714285714,3.891382420533805,130,1.0,1.0,-0.4999999999999998,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,12.0,10.222359,1.7776412963867188
2024-11-04,SPRITE_500 ML,SPRITE,500 ML,2.8,5,13,2024,11,4,0,45,309,False,5.0,12.0,14.0,20.0,2.0,6.0,4.0,13.0,32.0,38.0,57.0,7.0,21.0,14.0,10.333333333333334,4.725815626261231,19.285714285714285,9.464218328602184,10.785714285714286,10.948681490189164,99,1.0,2.6,-0.5000000000000004,0.8660254037844384,0.0,1.0,8.0,12.258024,4.258024215698242
2024-10-15,MOUNTAIN DEW_300 ML,MOUNTAIN DEW,300 ML,2.3,36,88,2024,10,15,1,42,289,False,17.0,2.0,17.0,14.0,4.0,3.0,3.0,39.0,6.0,39.0,34.0,12.0,9.0,9.0,12.0,8.660254037848375,14.0,9.128709291753802,13.428571428571429,14.329712465386123,232,1.0,1.0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,7.0,19.336208,12.33620834350586
